image_id,pred_path,psnr,ssim,inference_time_seconds
GOPR0871_11_00_000099,/home/xuanqi/nafnet-vm-course-project/results/tta/images/GOPR0871_11_00_000099.png,36.25116666129958,0.9803385138511658,1.2107248604297638
GOPR0871_11_00_000100,/home/xuanqi/nafnet-vm-course-project/results/tta/images/GOPR0871_11_00_000100.png,32.722978858185215,0.9560038447380066,1.2107348665595055
GOPR0881_11_01_000201,/home/xuanqi/nafnet-vm-course-project/results/tta/images/GOPR0881_11_01_000201.png,38.149949175668894,0.9856721758842468,1.2105115689337254
GOPR0881_11_01_000202,/home/xuanqi/nafnet-vm-course-project/results/tta/images/GOPR0881_11_01_000202.png,37.66323080660934,0.9853780269622803,1.2107452377676964
GOPR0881_11_01_000203,/home/xuanqi/nafnet-vm-course-project/results/tta/images/GOPR0881_11_01_000203.png,37.39025433273767,0.9854980707168579,1.2094242982566357
GOPR0881_11_01_000204,/home/xuanqi/nafnet-vm-course-project/results/tta/images/GOPR0881_11_01_000204.png,36.69962566841464,0.9800474047660828,1.2108035124838352
GOPR0881_11_01_000205,/home/xuanqi/nafnet-vm-course-project/results/tta/images/GOPR0881_11_01_000205.png,37.87481744030879,0.9832571148872375,1.2108700722455978
GOPR0881_11_01_000206,/home/xuanqi/nafnet-vm-course-project/results/tta/images/GOPR0881_11_01_000206.png,38.31431806721764,0.9856910705566406,1.210417352616787
GOPR0881_11_01_000207,/home/xuanqi/nafnet-vm-course-project/results/tta/images/GOPR0881_11_01_000207.png,36.646791452563654,0.9809138178825378,1.2103431858122349
GOPR0881_11_01_000208,/home/xuanqi/nafnet-vm-course-project/results/tta/images/GOPR0881_11_01_000208.png,38.040800353895136,0.9852887392044067,1.210627444088459
GOPR0881_11_01_000209,/home/xuanqi/nafnet-vm-course-project/results/tta/images/GOPR0881_11_01_000209.png,37.830656686018195,0.9838485717773438,1.2095651477575302
GOPR0881_11_01_000210,/home/xuanqi/nafnet-vm-course-project/results/tta/images/GOPR0881_11_01_000210.png,35.71390145335986,0.9766305088996887,1.2093923538923264
GOPR0881_11_01_000211,/home/xuanqi/nafnet-vm-course-project/results/tta/images/GOPR0881_11_01_000211.png,35.392669121003316,0.975690484046936,1.2118627540767193
GOPR0881_11_01_000212,/home/xuanqi/nafnet-vm-course-project/results/tta/images/GOPR0881_11_01_000212.png,35.63371727353103,0.9774084687232971,1.2107394523918629
GOPR0881_11_01_000213,/home/xuanqi/nafnet-vm-course-project/results/tta/images/GOPR0881_11_01_000213.png,34.185773534201864,0.9693430066108704,1.2105458229780197
GOPR0881_11_01_000214,/home/xuanqi/nafnet-vm-course-project/results/tta/images/GOPR0881_11_01_000214.png,33.15636540623028,0.9636942744255066,1.2102370597422123
GOPR0881_11_01_000215,/home/xuanqi/nafnet-vm-course-project/results/tta/images/GOPR0881_11_01_000215.png,31.145876168953414,0.9513474702835083,1.2106470167636871
GOPR0881_11_01_000216,/home/xuanqi/nafnet-vm-course-project/results/tta/images/GOPR0881_11_01_000216.png,32.08099234446912,0.9570087194442749,1.2106461636722088
