group,n,baseline_psnr_mean,tta_psnr_mean,delta_psnr_mean,baseline_ssim_mean,tta_ssim_mean,delta_ssim_mean,tta_time_seconds_mean
overall,1111,33.71031832043071,33.9300804068469,0.21976208641618392,0.9668136695072953,0.9680344781609509,0.0012208086536555107,1.210515385924509
heavy_blur,278,34.54810470506134,34.820435247647524,0.2723305425861777,0.9648984192515448,0.9662534896847156,0.0013550704331706717,1.2109977090396256
high_saturation_or_dark,436,34.289337851527975,34.48016291129786,0.1908250597698814,0.9742782085860541,0.9750777966932419,0.0007995881071878134,1.21034771003205
high_texture,278,33.88409544154165,34.02864366194194,0.144548220400292,0.9762759954809285,0.9769418408973611,0.0006658454164326624,1.2102788064441234
